t_s,pore_pressure_kpa,dataset_id,sensor_id,p0_kpa,Pu_train_kpa,h_m,cv_train_m2s,R_obs
24621.52,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24621.53,2.31,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.005128205128205
24621.54,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24621.55,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24621.56,2.31,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.005128205128205
24621.57,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24621.58,2.31,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.005128205128205
24621.59,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24621.6,2.31,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.005128205128205
24621.61,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24621.62,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24621.63,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24621.64,2.29,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.0
24621.65,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24621.66,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24621.67,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24621.68,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
24621.69,2.25,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9897435897435898
24621.7,2.31,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,1.005128205128205
24621.71,2.26,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9923076923076922
24621.72,2.28,mount_kabasan_2003,Piezo.4,2.28,3.9000000000000004,0.5,from_training_window,0.9974358974358972
