"Reid, M.E. and Ochiai, H, Displacement and pore-pressure data from a field-scale landslide initiation experiment at Mount Kaba-san, Japan",,,,,,,,,,,,
U.S. Geological Survey Data Release: https://doi.org/10.5066/P18XMZPC,,,,,,,,,,,,
"Nov. 14, 2003",100-Hz data,Rapid failure period data,,,,,,,,,,
(TIMER = time after sprinkling commenced in seconds; Ext = extensometer; raw = original distance data; corr = corrected data to reflect slope-parallel distance m = meter; Piezo = piezometer; cm_head = pore-pressure head in centimeters; kPa = kiloPascal),,,,,,,,,,,,
TIMER_(sec),Ext.3_raw_(m),Ext.4_raw_(m),Ext.5_raw_(m),Ext.3_corr_(m),Ext.4_corr_(m),Ext.5_corr_(m),Piezo.4_(cm_head),Piezo.6_(cm_head),Piezo.7_(cm_head),Piezo.4_(kPa),Piezo.6_(kPa),Piezo.7_(kPa)
24621.62,0.61554,0.20975,0.12135,0.616,0.210,0.121,23.39,3.44,37.87,2.29,0.34,3.71
24621.63,0.61567,0.20975,0.12148,0.616,0.210,0.121,23.08,3.44,37.87,2.26,0.34,3.71
24621.64,0.61567,0.21038,0.12122,0.616,0.210,0.121,23.39,3.28,37.73,2.29,0.32,3.70
24621.65,0.6158,0.21038,0.12148,0.616,0.210,0.121,23.08,3.44,38.02,2.26,0.34,3.73
24621.66,0.61605,0.20912,0.12135,0.616,0.209,0.121,23.24,3.44,37.73,2.28,0.34,3.70
24621.67,0.6158,0.21038,0.12135,0.616,0.210,0.121,23.24,3.59,37.73,2.28,0.35,3.70
24621.68,0.61618,0.20912,0.12135,0.616,0.209,0.121,23.24,3.28,38.17,2.28,0.32,3.74
24621.69,0.6163,0.21038,0.12148,0.616,0.210,0.121,22.93,3.75,37.87,2.25,0.37,3.71
24621.70,0.61618,0.20975,0.12135,0.616,0.210,0.121,23.55,3.13,37.87,2.31,0.31,3.71
24621.71,0.6163,0.20912,0.12148,0.616,0.209,0.121,23.08,3.44,37.87,2.26,0.34,3.71
24621.72,0.6163,0.20975,0.12135,0.616,0.210,0.121,23.24,3.28,37.87,2.28,0.32,3.71
24621.73,0.61668,0.20975,0.12135,0.617,0.210,0.121,23.39,3.28,37.73,2.29,0.32,3.70
24621.74,0.61656,0.20912,0.12148,0.617,0.209,0.121,23.08,3.59,37.58,2.26,0.35,3.69
24621.75,0.61668,0.20912,0.12135,0.617,0.209,0.121,23.55,3.44,37.73,2.31,0.34,3.70
24621.76,0.61694,0.21038,0.1216,0.617,0.210,0.122,23.08,3.28,37.87,2.26,0.32,3.71
24621.77,0.61681,0.20912,0.12135,0.617,0.209,0.121,23.39,3.44,37.87,2.29,0.34,3.71
24621.78,0.61681,0.20975,0.12148,0.617,0.210,0.121,23.08,3.44,38.02,2.26,0.34,3.73
24621.79,0.61694,0.20975,0.12148,0.617,0.210,0.121,23.08,3.28,37.87,2.26,0.32,3.71
24621.80,0.61719,0.21164,0.12148,0.617,0.212,0.121,23.24,3.28,37.58,2.28,0.32,3.69
24621.81,0.61732,0.20975,0.12148,0.617,0.210,0.121,23.24,3.13,37.58,2.28,0.31,3.69
24621.82,0.61732,0.20912,0.12173,0.617,0.209,0.122,22.93,2.97,37.73,2.25,0.29,3.70
24621.83,0.61732,0.20975,0.12173,0.617,0.210,0.122,23.08,2.97,37.73,2.26,0.29,3.70
24621.84,0.61745,0.21038,0.12148,0.617,0.210,0.121,23.39,3.28,38.02,2.29,0.32,3.73
