Pi,R_Pi
0.006141873052033825,0.8820917437151432
0.006382839552651239,0.8798010254670063
0.00663325998595789,0.8774658032072694
0.0068935052617817615,0.8750852123133106
0.007163960842000774,0.8726583713646386
0.007445027311468981,0.8701843818165533
0.007737120971342273,0.8676623276674434
0.008040674455682134,0.8650912751196483
0.008356137372250876,0.862470272233707
0.00868397696844749,0.8597983485759039
0.009024678823370401,0.8570745148589642
0.009378747567032173,0.8542977625757625
0.00974670762779139,0.8514670636259263
0.010129104009109002,0.8485813699351772
0.010526503096779265,0.8456396130672791
0.01093949349783116,0.8426407038284509
0.011368686912342774,0.8395835318641
0.011814719039459937,0.836466965247727
0.01227825051896093,0.8332898500618695
0.012759967909762136,0.8300510099709469
0.013260584706813587,0.8267492457858945
0.013780842397890996,0.8233833350205033
0.014321511561849092,0.819952031439448
0.014883393009963322,0.816454064598073
0.015467318972050236,0.8128881393741971
0.01607415432912327,0.8092529354924347
0.016704797894409998,0.8055471070419433
0.017360183744627805,0.8017692819891064
0.018041282603490257,0.7979180616875261
0.01874910327949288,0.7939920203888983
0.019484694160108316,0.7899897047600346
0.020249144764603814,0.7859096334134906
0.021043587357780846,0.7817502964621644
0.021869198627027474,0.7775101551119
0.022727201425166845,0.7731876413106517
0.023618866581683894,0.7687811574782448
0.024545514785012244,0.764289076347184
0.025508518538669877,0.759709740952329
0.026509304194140614,0.7550414648154101
0.027549354063512166,0.7502825323792254
0.028630208615000558,0.7454311997555989
0.029753468754611965,0.7404856958605148
0.030920798197322324,0.7354442240188603
0.032133925931285945,0.7303049641294769
0.03339464877872365,0.7250660754881744
0.034704834057283244,0.7197257003716099
0.03606642234581391,0.7142819684878698
0.03748143035865173,0.7087330023998353
0.03895195393267262,0.7030769240245835
0.04048017113153816,0.6973118623058429
0.04206834547173081,0.6914359621468177
0.0437188292751579,0.6854473946774028
0.04543406715328963,0.6793443689131342
0.047216599627991164,0.673125144843375
0.04906906689441292,0.6667880479636455
0.05099421273151106,0.6603314852422022
0.05299488856599174,0.6537539624845434
0.055074057695696926,0.6470541030322137
0.05723479967868837,0.640230667704749
0.05948031489453043,0.6332825758666656
0.061813929284526704,0.6262089274756888
0.06423909927793325,0.6190090259445877
0.06675941691144278,0.6116824016276302
0.06937861514952463,0.604228835724135
0.07210057341349872,0.5966483843762372
0.0749293233275345,0.588941402725917
0.07786905469008487,0.5811085686875376
0.08092412167959906,0.5731509061864827
0.08409904930370772,0.5650698076116619
0.08739854010143021,0.5568670552293065
0.09082748110833339,0.54854484130713
0.09439095109495611,0.5401057867011447
0.09809422808922232,0.5315529576616755
0.10194279719398411,0.5228898806200634
0.1059423587112724,0.5141205547228473
0.11009883658529107,0.5052494618857014
0.11441838717665671,0.4962815741450868
